german,article,plural,level,glosses,example_de,example_en
Studium,das,Studien,B1,Study,TBD,TBD
Band,das,Bänder,A2,Tape,TBD,TBD
Handgelenk,das,Handgelenke,A2,Wrist,TBD,TBD
Halt,der,Halte,A2,Stop,TBD,TBD
Hüfte,die,Hüften,A1,Hip,TBD,TBD
Regierung,die,Regierungen,B2,Government,TBD,TBD
Bauch,der,Bäuche,A1,Belly,TBD,TBD
Königin,die,Königinnen,B1,Queen,TBD,TBD
Bericht,der,Berichte,B1,Report,TBD,TBD
Schwanz,der,Schwänze,A2,Tail,TBD,TBD
Pflanze,die,Pflanzen,A1,Plant,TBD,TBD
Flamme,die,Flammen,A1,Flame,TBD,TBD
Himmel,der,Himmel,B1,Heaven,TBD,TBD
Gürtel,der,Gürtel,A1,Belt,TBD,TBD
Nachbarschaft,die,Nachbarschaften,B1,Neighborhood,TBD,TBD
Energie,die,-,B1,Energy,TBD,TBD
Grün,das,-,A2,Green,TBD,TBD
Viertel,das,Viertel,B1,Quarter,TBD,TBD
Feind,der,Feinde,A2,Enemy,TBD,TBD
Zug,der,Züge,A2,Move,TBD,TBD
Eingang,der,Eingänge,A1,Entrance,TBD,TBD
Bibliothek,die,Bibliotheken,A2,Library,TBD,TBD
Schriftsteller,der,Schriftsteller,B1,Writer,TBD,TBD
Frieden,der,-,B1,Peace,TBD,TBD
Berührung,die,Berührungen,B1,Touch,TBD,TBD
Topf,der,Töpfe,A2,Pot,TBD,TBD
Art,die,-,A2,Type,TBD,TBD
Ursache,die,Ursachen,B1,Cause,TBD,TBD
Seil,das,Seile,A2,Rope,TBD,TBD
Muskel,der,Muskeln,A2,Muscle,TBD,TBD
Gemälde,das,Gemälde,A2,Painting,TBD,TBD
Vorhang,der,Vorhänge,A2,Curtain,TBD,TBD
Mahlzeit,die,Mahlzeiten,A2,Meal,TBD,TBD
Akt,der,Akte,A2,Act,TBD,TBD
Wolf,der,Wölfe,A1,Wolf,TBD,TBD
Kabine,die,Kabinen,A2,Cabin,TBD,TBD
Gebühr,die,Gebühren,B1,Charge,TBD,TBD
Uhr,die,Uhren,A1,Clock,TBD,TBD
Passagier,der,Passagiere,B2,Passenger,TBD,TBD
Kumpel,der,Kumpel,A2,Buddy,TBD,TBD
Medikament,das,Medikamente,A2,Drug,TBD,TBD
Verwendung,die,Verwendungen,B1,Use,TBD,TBD
Bank,die,Bänke,A2,Bench,TBD,TBD
Verkehr,der,-,B1,Traffic,TBD,TBD
Erleichterung,die,-,B1,Relief,TBD,TBD
Mütze,die,Mützen,A1,Cap,TBD,TBD
Pack,das,Packs,A2,Pack,TBD,TBD
Wochenende,das,Wochenenden,A1,Weekend,TBD,TBD
Stand,der,Stände,A2,Stand,TBD,TBD
Aufzug,der,Aufzüge,A2,Elevator,TBD,TBD
Geburtstag,der,Geburtstage,A1,Birthday,TBD,TBD
Lilie,die,Lilien,A1,Lily,TBD,TBD
Eisen,das,Eisen,A2,Iron,TBD,TBD
Fleisch,das,-,A2,Meat,TBD,TBD
Augenbraue,die,Augenbrauen,A1,Eyebrow,TBD,TBD
Antwort,die,Antworten,A2,Response,TBD,TBD
Geschwindigkeit,die,Geschwindigkeiten,B1,Speed,TBD,TBD
Zweck,der,Zwecke,B1,Purpose,TBD,TBD
Rock,der,Röcke,A2,Skirt,TBD,TBD
Quadrat,das,Quadrate,B1,Square,TBD,TBD
Fahrt,die,Fahrten,A2,Drive,TBD,TBD
Artikel,der,Artikel,A2,Article,TBD,TBD
Englisch,das,-,A2,English,TBD,TBD
Turm,der,Türme,A1,Tower,TBD,TBD
Schlacht,die,Schlachten,B1,Battle,TBD,TBD
Film,der,Filme,A2,Film,TBD,TBD
Rennen,das,Rennen,B1,Race,TBD,TBD
Schock,der,Schocks,B1,Shock,TBD,TBD
Sektion,die,Sektionen,B1,Section,TBD,TBD
Art,die,-,A2,Manner,TBD,TBD
Schwert,das,Schwerter,A2,Sword,TBD,TBD
Stock,der,Stöcke,A2,Stick,TBD,TBD
Datei,die,Dateien,A2,File,TBD,TBD
Brot,das,-,A1,Bread,TBD,TBD
Öl,das,-,A2,Oil,TBD,TBD
Kette,die,Ketten,A2,Chain,TBD,TBD
Abteilung,die,Abteilungen,B2,Department,TBD,TBD
Projekt,das,Projekte,B1,Project,TBD,TBD
Mord,der,Morde,B1,Murder,TBD,TBD
Bär,der,Bären,A1,Bear,TBD,TBD
Test,der,Tests,A2,Test,TBD,TBD
Besuch,der,Besuche,A2,Visit,TBD,TBD
Milch,die,-,A1,Milk,TBD,TBD
Chef,der,Chefs,A2,Boss,TBD,TBD
Ellenbogen,der,Ellenbogen,A1,Elbow,TBD,TBD
Verlangen,das,-,B1,Desire,TBD,TBD
Patient,der,Patienten,B1,Patient,TBD,TBD
Grinsen,das,-,A2,Grin,TBD,TBD
Liebhaber,der,Liebhaber,B1,Lover,TBD,TBD
Preis,der,Preise,A2,Price,TBD,TBD
Karte,die,Karten,A2,Map,TBD,TBD
Wissen,das,-,B1,Knowledge,TBD,TBD
Anfang,der,Anfänge,B1,Beginning,TBD,TBD
Kälte,die,-,A2,Cold,TBD,TBD
Schrank,der,Schränke,A2,Closet,TBD,TBD
Morgendämmerung,die,Morgendämmerungen,B1,Dawn,TBD,TBD
Tempel,der,Tempel,A2,Temple,TBD,TBD
Freude,die,-,B1,Joy,TBD,TBD
Pflicht,die,Pflichten,B1,Duty,TBD,TBD
Übung,die,Übungen,A2,Practice,TBD,TBD
Absatz,der,Absätze,A2,Heel,TBD,TBD
Tal,das,Täler,A1,Valley,TBD,TBD
Kampf,der,Kämpfe,A2,Fight,TBD,TBD
Kabel,das,Kabel,A2,Wire,TBD,TBD
Jeans,die,-,A2,Jeans,TBD,TBD
Kuss,der,Küsse,A2,Kiss,TBD,TBD
Kiefer,der,Kiefer,A1,Jaw,TBD,TBD
Lauf,der,Läufe,A2,Run,TBD,TBD
Halten,das,Halten,B1,Hold,TBD,TBD
Beziehung,die,Beziehungen,B1,Relationship,TBD,TBD
Objekt,das,Objekte,B1,Object,TBD,TBD
Angriff,der,Angriffe,B1,Attack,TBD,TBD
Gericht,das,Gerichte,A2,Dish,TBD,TBD
Autobahn,die,Autobahnen,A2,Highway,TBD,TBD
Schatten,der,Schatten,A2,Shade,TBD,TBD
Verbrechen,das,Verbrechen,B2,Crime,TBD,TBD
Weiß,das,-,A2,White,TBD,TBD
Partner,der,Partner,B1,Partner,TBD,TBD
Priester,der,Priester,B1,Priest,TBD,TBD
Rasen,der,Rasen,A2,Lawn,TBD,TBD
Lachen,das,-,A2,Laugh,TBD,TBD
Stamm,der,Stämme,A2,Trunk,TBD,TBD
Weinen,das,Weinen,A2,Cry,TBD,TBD
Programm,das,Programme,B1,Program,TBD,TBD
Fahrt,die,Fahrten,A2,Ride,TBD,TBD
Regal,das,Regale,A2,Shelf,TBD,TBD
Herr,der,Herren,A1,Gentleman,TBD,TBD
Wesen,das,Wesen,B1,Being,TBD,TBD
Stahl,der,-,A2,Steel,TBD,TBD
Bürgersteig,der,Bürgersteige,A1,Sidewalk,TBD,TBD
Uniform,die,Uniformen,A2,Uniform,TBD,TBD
Muster,das,Muster,B1,Pattern,TBD,TBD
Beweis,der,Beweise,B1,Evidence,TBD,TBD
Spieler,der,Spieler,A2,Player,TBD,TBD
Roman,der,Romane,A2,Novel,TBD,TBD
Kissen,das,Kissen,A1,Pillow,TBD,TBD
Lampe,die,Lampen,A1,Lamp,TBD,TBD
Schublade,die,Schubladen,A2,Drawer,TBD,TBD
Gefahr,die,Gefahren,B1,Danger,TBD,TBD
Detektiv,der,Detektive,B1,Detective,TBD,TBD
Augenblick,der,Augenblicke,A2,Instant,TBD,TBD
Denken,das,-,B1,Thinking,TBD,TBD
Riss,der,Risse,A2,Crack,TBD,TBD
Gebet,das,Gebete,A2,Prayer,TBD,TBD
Handtuch,das,Handtücher,A1,Towel,TBD,TBD
Handschuh,der,Handschuhe,A1,Glove,TBD,TBD
Bucht,die,Buchten,A2,Bay,TBD,TBD
Publikum,das,-,B1,Audience,TBD,TBD
Dose,die,Dosen,A2,Can,TBD,TBD
Zustand,der,Zustände,B1,Condition,TBD,TBD
Pfad,der,Pfade,A2,Trail,TBD,TBD
Taille,die,Taillen,A2,Waist,TBD,TBD
Druck,der,Drücke,B1,Pressure,TBD,TBD
Telefon,das,Telefone,A2,Telephone,TBD,TBD
Waschbecken,das,Waschbecken,A1,Sink,TBD,TBD
Rückkehr,die,Rückkehr,B1,Return,TBD,TBD
Brise,die,Brisen,A2,Breeze,TBD,TBD
Geschmack,der,Geschmäcker,B1,Taste,TBD,TBD
Fehler,der,Fehler,B1,Fault,TBD,TBD
Strom,der,Ströme,A2,Stream,TBD,TBD
Ergebnis,das,Ergebnisse,B1,Result,TBD,TBD
Autor,der,Autoren,A2,Author,TBD,TBD
Tipp,der,Tipps,A2,Tip,TBD,TBD
Dusche,die,Duschen,A1,Shower,TBD,TBD
Zehe,die,Zehen,A1,Toe,TBD,TBD
Jahreszeit,die,Jahreszeiten,A2,Season,TBD,TBD
Hälfte,die,Hälften,B1,Half,TBD,TBD
Narr,der,Narren,A2,Fool,TBD,TBD
Tunnel,der,Tunnel,A2,Tunnel,TBD,TBD
Kunde,der,Kunden,A2,Client,TBD,TBD
Garage,die,Garagen,A2,Garage,TBD,TBD
Mission,die,Missionen,B1,Mission,TBD,TBD
Chef,der,Chefs,A2,Boss,TBD,TBD
Kugel,die,Kugeln,A2,Bullet,TBD,TBD
Markt,der,Märkte,A1,Market,TBD,TBD
Verlust,der,Verluste,B1,Loss,TBD,TBD
Serie,die,Serien,A2,Series,TBD,TBD
Stift,der,Stifte,A1,Pen,TBD,TBD
Begriff,der,Begriffe,B1,Term,TBD,TBD
Gedicht,das,Gedichte,B1,Poem,TBD,TBD
Prinz,der,Prinzen,A2,Prince,TBD,TBD
Ton,der,Tone,A2,Clay,TBD,TBD
Schloss,das,Schlösser,A2,Lock,TBD,TBD
Realität,die,Realitäten,B1,Reality,TBD,TBD
Schlange,die,Schlangen,A1,Snake,TBD,TBD
Apfel,der,Äpfel,A1,Apple,TBD,TBD
Maske,die,Masken,A2,Mask,TBD,TBD
Kunde,der,Kunden,A2,Customer,TBD,TBD
Geburt,die,Geburten,B1,Birth,TBD,TBD
Pause,die,Pausen,A2,Break,TBD,TBD
Wunder,das,Wunder,B1,Wonder,TBD,TBD
Sonnenlicht,das,-,A2,Sunlight,TBD,TBD
Panzer,der,Panzer,B1,Tank,TBD,TBD
Personal,das,-,B1,Staff,TBD,TBD
Lüge,die,Lügen,A2,Lie,TBD,TBD
Glaube,der,-,B1,Faith,TBD,TBD
Ehre,die,-,B1,Honor,TBD,TBD
Sahne,die,-,A1,Cream,TBD,TBD
Grund,der,-,B1,Sake,TBD,TBD
Opfer,das,Opfer,A2,Victim,TBD,TBD
Möglichkeit,die,Möglichkeiten,B1,Possibility,TBD,TBD
Kontakt,der,Kontakte,B1,Contact,TBD,TBD
Stimmung,die,Stimmungen,B1,Mood,TBD,TBD
Daumen,der,Daumen,A1,Thumb,TBD,TBD
Lesen,das,-,A2,Reading,TBD,TBD
Spaß,der,-,A2,Fun,TBD,TBD
Kerze,die,Kerzen,A1,Candle,TBD,TBD
Höhle,die,Höhlen,A2,Cave,TBD,TBD
Post,die,-,A2,Post,TBD,TBD
Gefängnis,das,Gefängnisse,B2,Prison,TBD,TBD
Emotion,die,Emotionen,B1,Emotion,TBD,TBD
Führer,der,Führer,B1,Leader,TBD,TBD
Abschluss,der,Abschlüsse,B2,Degree,TBD,TBD
Merkmal,das,Merkmale,B1,Feature,TBD,TBD
Eintrittskarte,die,Eintrittskarten,A2,Ticket,TBD,TBD
Alien,das,Aliens,A2,Alien,TBD,TBD
Lektion,die,Lektionen,B1,Lesson,TBD,TBD
Wüste,die,Wüsten,A2,Desert,TBD,TBD
Schnitt,der,Schnitte,B1,Cut,TBD,TBD
Durcheinander,das,-,B1,Mess,TBD,TBD
Warnung,die,Warnungen,B1,Warning,TBD,TBD
Märchen,das,Märchen,A2,Tale,TBD,TBD
Beerdigung,die,Beerdigungen,B2,Funeral,TBD,TBD
Taxi,das,Taxis,A1,Cab,TBD,TBD
Reporter,der,Reporter,B1,Reporter,TBD,TBD
Geschenk,das,Geschenke,A1,Present,TBD,TBD
Theater,das,Theater,A2,Theater,TBD,TBD
Länge,die,-,A2,Length,TBD,TBD
Schlamm,der,-,A2,Mud,TBD,TBD
Wissenschaft,die,-,B2,Science,TBD,TBD
Tropfen,der,Tropfen,A2,Drop,TBD,TBD
Schnur,die,Schnüre,A2,String,TBD,TBD
Rede,die,Reden,A2,Speech,TBD,TBD
Exemplar,das,Exemplare,B1,Copy,TBD,TBD
Kuh,die,Kühe,A1,Cow,TBD,TBD
Arbeiter,der,Arbeiter,A2,Worker,TBD,TBD
Oberschenkel,der,Oberschenkel,A1,Thigh,TBD,TBD
Labor,das,Labore,A2,Lab,TBD,TBD
Rolle,die,Rollen,A2,Roll,TBD,TBD
Frucht,die,Früchte,A2,Fruit,TBD,TBD
Patch,das,Patches,A2,Patch,TBD,TBD
Seide,die,-,A2,Silk,TBD,TBD
Dollar,der,Dollars,A2,Buck,TBD,TBD
Ziegel,der,Ziegel,A2,Brick,TBD,TBD
Gewehr,das,Gewehre,B1,Rifle,TBD,TBD
Karriere,die,Karrieren,B1,Career,TBD,TBD
Ausgabe,die,Ausgaben,B1,Issue,TBD,TBD
Gelegenheit,die,Gelegenheiten,B1,Opportunity,TBD,TBD
Regisseur,der,Regisseure,B2,Director,TBD,TBD
Monster,das,Monster,A2,Monster,TBD,TBD
Fahrzeug,das,Fahrzeuge,B1,Vehicle,TBD,TBD
Gasse,die,Gassen,A1,Alley,TBD,TBD
Ärmel,der,Ärmel,A1,Sleeve,TBD,TBD
Grab,das,Gräber,A2,Grave,TBD,TBD
Busch,der,Büsche,A1,Bush,TBD,TBD
Esszimmer,das,-,A1,Dining,TBD,TBD
Öffnung,die,Öffnungen,B1,Opening,TBD,TBD
Zwilling,das,Zwillinge,A2,Twin,TBD,TBD
Scheune,die,Scheunen,A2,Barn,TBD,TBD
Pfund,das,Pfunde,A2,Pound,TBD,TBD
Seite,die,Seiten,A2,Site,TBD,TBD
Blitz,der,Blitze,A1,Flash,TBD,TBD
Richter,der,Richter,B1,Judge,TBD,TBD
Masse,die,Massen,B1,Mass,TBD,TBD
Prozess,der,Prozesse,B1,Process,TBD,TBD
Krawatte,die,Krawatten,A2,Tie,TBD,TBD
Geldbörse,die,Geldbörsen,A2,Purse,TBD,TBD
Pfeife,die,Pfeifen,A2,Pipe,TBD,TBD
Drache,der,Drachen,A1,Dragon,TBD,TBD
Horizont,der,Horizonte,B1,Horizon,TBD,TBD
Tablett,das,Tabletts,A2,Tray,TBD,TBD
Umschlag,der,Umschläge,A2,Envelope,TBD,TBD
Scheck,der,Schecks,B1,Check,TBD,TBD
Erwachsene,der,Erwachsenen,B1,Adult,TBD,TBD
Notfall,der,Notfälle,B1,Emergency,TBD,TBD
Material,das,Materialien,B1,Material,TBD,TBD
Kindheit,die,-,B1,Childhood,TBD,TBD
Gewohnheit,die,Gewohnheiten,B1,Habit,TBD,TBD
Künstler,der,Künstler,B1,Artist,TBD,TBD
Adresse,die,Adressen,A2,Address,TBD,TBD
Duft,der,Düfte,A2,Scent,TBD,TBD
Universum,das,Universen,B2,Universe,TBD,TBD
Nicken,das,-,A2,Nod,TBD,TBD
Muschel,die,Muscheln,A1,Shell,TBD,TBD
Gemeinschaft,die,Gemeinschaften,B2,Community,TBD,TBD
Start,der,Starts,A2,Start,TBD,TBD
Wunde,die,Wunden,A2,Wound,TBD,TBD
Maus,die,Mäuse,A1,Mouse,TBD,TBD
Pilot,der,Piloten,A2,Pilot,TBD,TBD
Note,die,Noten,A2,Grade,TBD,TBD
Video,das,Videos,A2,Video,TBD,TBD
Korb,der,Körbe,A2,Basket,TBD,TBD
Waggon,der,Waggons,A2,Wagon,TBD,TBD
Versuch,der,Versuche,B1,Attempt,TBD,TBD
Sofa,das,Sofas,A1,Sofa,TBD,TBD
Kuchen,der,Kuchen,A1,Cake,TBD,TBD
Kerl,der,Kerle,A2,Fellow,TBD,TBD
Angelegenheit,die,Angelegenheiten,B2,Affair,TBD,TBD
Küste,die,Küsten,A1,Shore,TBD,TBD
General,der,Generäle,B1,General,TBD,TBD
Wurzel,die,Wurzeln,A2,Root,TBD,TBD
Umhang,der,Umhänge,A2,Robe,TBD,TBD
Sorge,die,Sorgen,A2,Concern,TBD,TBD
Presse,die,-,B1,Press,TBD,TBD
Ratte,die,Ratten,A1,Rat,TBD,TBD
Gesellschaft,die,Gesellschaften,B2,Society,TBD,TBD
Stil,der,Stile,A2,Style,TBD,TBD
Bezirk,der,Bezirke,B1,County,TBD,TBD
Befehl,der,Befehle,B1,Command,TBD,TBD
Besucher,der,Besucher,A2,Visitor,TBD,TBD
Modell,das,Modelle,B1,Model,TBD,TBD
Kammer,die,Kammern,B1,Chamber,TBD,TBD
Tier,das,Tiere,A1,Beast,TBD,TBD
Strauß,der,Sträuße,A2,Bunch,TBD,TBD
Hintergrund,der,Hintergründe,B2,Background,TBD,TBD
Einheit,die,Einheiten,B1,Unit,TBD,TBD
Möbel,das,Möbel,A2,Furniture,TBD,TBD
Nagel,der,Nägel,A2,Nail,TBD,TBD
Schrei,der,Schreie,B1,Scream,TBD,TBD
Eigentum,das,-,B1,Property,TBD,TBD
Ausrüstung,die,-,B2,Equipment,TBD,TBD
Auffahrt,die,Auffahrten,A2,Driveway,TBD,TBD
Griff,der,Griffe,A2,Grip,TBD,TBD
Röhre,die,Röhren,A2,Tube,TBD,TBD
Asche,die,Aschen,A2,Ash,TBD,TBD
Ventilator,der,Ventilatoren,A2,Fan,TBD,TBD
Meinung,die,Meinungen,B1,Opinion,TBD,TBD
Daten,die,-,A2,Data,TBD,TBD
Verbindung,die,Verbindungen,B1,Connection,TBD,TBD
Trick,der,Tricks,A2,Trick,TBD,TBD
Geheimnis,das,Geheimnisse,B1,Mystery,TBD,TBD
Periode,die,Perioden,B1,Period,TBD,TBD
Schrift,die,Schriften,B1,Writing,TBD,TBD
Horror,der,-,B1,Horror,TBD,TBD
Süßigkeiten,die,-,A2,Candy,TBD,TBD
Hündin,die,Hündinnen,A2,Bitch,TBD,TBD
Gesundheit,die,-,B1,Health,TBD,TBD
Manager,der,Manager,B1,Manager,TBD,TBD
Sicherheit,die,-,B2,Safety,TBD,TBD
Höhe,die,Höhen,A2,Height,TBD,TBD
Aussehen,das,-,B1,Appearance,TBD,TBD
Seufzer,der,Seufzer,A2,Sigh,TBD,TBD
Mine,die,Minen,A2,Mine,TBD,TBD
Stoff,der,Stoffe,A2,Cloth,TBD,TBD
Reaktion,die,Reaktionen,B1,Reaction,TBD,TBD
Quelle,die,Quellen,B1,Source,TBD,TBD
Selbst,das,-,B1,Self,TBD,TBD
Pistole,die,Pistolen,B1,Pistol,TBD,TBD
Flughafen,der,Flughäfen,A1,Airport,TBD,TBD
Held,der,Helden,A2,Hero,TBD,TBD
Versprechen,das,Versprechen,B1,Promise,TBD,TBD
Bogen,der,Bögen,A2,Bow,TBD,TBD
Zelt,das,Zelte,A1,Tent,TBD,TBD
Stand,der,Stände,A2,Booth,TBD,TBD
Bargeld,das,-,A2,Cash,TBD,TBD
Allee,die,Alleen,A2,Avenue,TBD,TBD
T-Shirt,das,T-Shirts,A1,TShirt,TBD,TBD
Teppich,der,Teppiche,A2,Carpet,TBD,TBD
Keller,der,Keller,A1,Basement,TBD,TBD
Freundin,die,Freundinnen,A1,Girlfriend,TBD,TBD
Bart,der,Bärte,A1,Beard,TBD,TBD
Augenbraue,die,Augenbrauen,A1,Brow,TBD,TBD
Bildschirm,der,Bildschirme,A2,Display,TBD,TBD
Signal,das,Signale,B1,Signal,TBD,TBD
Diener,der,Diener,A2,Servant,TBD,TBD
Flüstern,das,Flüstern,A2,Whisper,TBD,TBD
Zweifel,der,Zweifel,B1,Doubt,TBD,TBD
Konto,das,Konten,A2,Account,TBD,TBD
Magie,die,-,B1,Magic,TBD,TBD
Klumpen,der,Klumpen,A2,Hank,TBD,TBD
Glied,das,Glieder,A2,Limb,TBD,TBD
Bastard,der,Bastarde,A2,Bastard,TBD,TBD
Schädel,der,Schädel,A1,Skull,TBD,TBD
Satz,der,Sätze,A2,Sentence,TBD,TBD
Kragen,der,Kragen,A2,Collar,TBD,TBD
Horn,das,Hörner,A2,Horn,TBD,TBD
Eiche,die,Eichen,A1,Oak,TBD,TBD
Knöchel,der,Knöchel,A1,Ankle,TBD,TBD
Puppe,die,Puppen,A1,Doll,TBD,TBD
Sandwich,das,Sandwiches,A2,Sandwich,TBD,TBD
Rotkehlchen,das,Rotkehlchen,A2,Robin,TBD,TBD
Gerechtigkeit,die,-,C1,Justice,TBD,TBD
Stolz,der,-,B1,Pride,TBD,TBD
Jugend,die,-,B1,Youth,TBD,TBD
Sekretär,der,Sekretäre,B1,Secretary,TBD,TBD
Forschung,die,-,B2,Research,TBD,TBD
Sport,der,Sportarten,A2,Sport,TBD,TBD
Aufgabe,die,Aufgaben,B1,Task,TBD,TBD
Stipendium,das,Stipendien,B2,Grant,TBD,TBD
Sheriff,der,Sheriffs,B1,Sheriff,TBD,TBD
Mitternacht,die,-,A1,Midnight,TBD,TBD
Chip,der,Chips,A2,Chip,TBD,TBD
Theorie,die,Theorien,B1,Theory,TBD,TBD
Alarm,der,Alarme,A2,Alarm,TBD,TBD
Sammlung,die,Sammlungen,B1,Collection,TBD,TBD
Kreuz,das,Kreuze,A2,Cross,TBD,TBD
Kiefer,die,Kiefern,A2,Pine,TBD,TBD
Generation,die,Generationen,B2,Generation,TBD,TBD
Autorität,die,Autoritäten,B2,Authority,TBD,TBD
Papa,der,Papas,A1,Papa,TBD,TBD
Reise,die,Reisen,A2,Journey,TBD,TBD
Perle,die,Perlen,A2,Pearl,TBD,TBD
Toilette,die,Toiletten,A1,Toilet,TBD,TBD
Mörder,der,Mörder,B1,Killer,TBD,TBD
Werkzeug,das,Werkzeuge,A2,Tool,TBD,TBD
Medizin,die,Medizinen,B1,Medicine,TBD,TBD
Zucker,der,-,A2,Sugar,TBD,TBD
Prinzessin,die,Prinzessinnen,A2,Princess,TBD,TBD
Argument,das,Argumente,B1,Argument,TBD,TBD
Klippe,die,Klippen,A2,Cliff,TBD,TBD
Wagen,der,Wagen,A2,Cart,TBD,TBD
Kristall,der,Kristalle,A2,Crystal,TBD,TBD
Bohne,die,Bohnen,A1,Bean,TBD,TBD
Käfig,der,Käfige,A2,Cage,TBD,TBD
Schokolade,die,-,A1,Chocolate,TBD,TBD
Küste,die,Küsten,A1,Coast,TBD,TBD
Jahrzehnt,das,Jahrzehnte,B2,Decade,TBD,TBD
Bedeutung,die,Bedeutungen,C1,Meaning,TBD,TBD
Getriebe,das,Getriebe,B1,Gear,TBD,TBD
Koffer,der,Koffer,A2,Suitcase,TBD,TBD
Operation,die,Operationen,B2,Operation,TBD,TBD
Atmen,das,-,A2,Breathing,TBD,TBD
Rolle,die,Rollen,A2,Role,TBD,TBD
Version,die,Versionen,B1,Version,TBD,TBD
Gefangene,der,Gefangenen,B1,Prisoner,TBD,TBD
Spiel,das,Spiele,A2,Match,TBD,TBD
Strahl,der,Strahlen,A2,Beam,TBD,TBD
Schloss,das,Schlösser,A1,Castle,TBD,TBD
Rausch,der,Räusche,B1,Rush,TBD,TBD
Fahrspur,die,Fahrspuren,A2,Lane,TBD,TBD
Kleidung,die,-,A2,Clothing,TBD,TBD
Pfahl,der,Pfähle,A2,Pole,TBD,TBD
Freiheit,die,-,B1,Freedom,TBD,TBD
Fähigkeit,die,Fähigkeiten,B1,Skill,TBD,TBD
Leidenschaft,die,Leidenschaften,B2,Passion,TBD,TBD
Aktivität,die,Aktivitäten,B2,Activity,TBD,TBD
Fick,der,Ficks,A2,Fuck,TBD,TBD
Plattform,die,Plattformen,B2,Platform,TBD,TBD
Salz,das,-,A2,Salt,TBD,TBD
Fahrrad,das,Fahrräder,A1,Bike,TBD,TBD
Stapel,der,Stapel,A2,Stack,TBD,TBD
Begleiter,der,Begleiter,B1,Companion,TBD,TBD
Schicksal,das,-,B2,Fate,TBD,TBD
Wut,die,-,A2,Rage,TBD,TBD
Versorgung,die,Versorgungen,B2,Supply,TBD,TBD
Wal,der,Wale,A1,Whale,TBD,TBD
Schwein,das,Schweine,A1,Pig,TBD,TBD
Kaninchen,das,Kaninchen,A1,Rabbit,TBD,TBD
Gang,der,Gänge,A2,Aisle,TBD,TBD
Monitor,der,Monitore,A2,Monitor,TBD,TBD
Helm,der,Helme,A1,Helmet,TBD,TBD
Respekt,der,-,B1,Respect,TBD,TBD
Aufregung,die,-,B1,Excitement,TBD,TBD
Lobby,die,Lobbys,A2,Lobby,TBD,TBD
Freund,der,Freunde,A1,Boyfriend,TBD,TBD
Pelz,der,Felle,A2,Fur,TBD,TBD
Bandbreite,die,Bandbreiten,B2,Range,TBD,TBD
Schwanz,der,Schwänze,A2,Dick,TBD,TBD
Code,der,Codes,A2,Code,TBD,TBD
Kapitel,das,Kapitel,A2,Chapter,TBD,TBD
Reflexion,die,Reflexionen,B2,Reflection,TBD,TBD
Post,die,Mails,A2,Mail,TBD,TBD
Fliege,die,Fliegen,A1,Fly,TBD,TBD
Schrank,der,Schränke,A2,Cabinet,TBD,TBD
Spielzeug,das,Spielzeuge,A1,Toy,TBD,TBD
Baseball,der,Baseballs,A2,Baseball,TBD,TBD
Innere,das,-,B1,Inside,TBD,TBD
Tempo,das,-,A2,Pace,TBD,TBD
Griff,der,Griffe,A2,Handle,TBD,TBD
Blei,das,-,A2,Lead,TBD,TBD
Menge,die,Mengen,A2,Amount,TBD,TBD
Nerv,der,Nerven,A2,Nerve,TBD,TBD
Terror,der,-,B1,Terror,TBD,TBD
Pullover,der,Pullover,A1,Sweater,TBD,TBD
Qualität,die,Qualitäten,B1,Quality,TBD,TBD
Jäger,der,Jäger,A2,Hunter,TBD,TBD
Farbe,die,Farben,A1,Paint,TBD,TBD
Zerstörer,der,Zerstörer,B2,Buster,TBD,TBD
Baumwolle,die,-,A2,Cotton,TBD,TBD
Feldwebel,der,Feldwebel,B2,Sergeant,TBD,TBD
Kredit,der,Kredite,B1,Credit,TBD,TBD
Schlag,der,Schläge,A2,Blow,TBD,TBD
Teufel,der,Teufel,A2,Devil,TBD,TBD
Bedrohung,die,Bedrohungen,B2,Threat,TBD,TBD
Erfolg,der,Erfolge,B1,Success,TBD,TBD
Abend,der,Abende,A1,Eve,TBD,TBD
Kabel,das,Kabel,A2,Cable,TBD,TBD
Pfanne,die,Pfannen,A2,Pan,TBD,TBD
Angestellte,der,Angestellten,A2,Clerk,TBD,TBD
Titel,der,Titel,A2,Title,TBD,TBD
Meter,der,Meter,A2,Meter,TBD,TBD
Schande,die,-,B1,Shame,TBD,TBD
Nadel,die,Nadeln,A1,Needle,TBD,TBD
Lunge,die,Lungen,A1,Lung,TBD,TBD
Krieger,der,Krieger,A2,Warrior,TBD,TBD
Umstände,die,-,B1,Circumstance,TBD,TBD
Studio,das,Studios,A2,Studio,TBD,TBD
Panik,die,-,B1,Panic,TBD,TBD
Mangel,der,-,B1,Lack,TBD,TBD
Bauer,der,Bauern,A2,Farmer,TBD,TBD
Akzent,der,Akzente,B1,Accent,TBD,TBD
Bombe,die,Bomben,A2,Bomb,TBD,TBD
Panel,das,Panels,A2,Panel,TBD,TBD
Fähigkeit,die,Fähigkeiten,B1,Ability,TBD,TBD
Glück,das,-,A2,Fortune,TBD,TBD
Sieger,der,Sieger,A2,Victor,TBD,TBD
Feder,die,Federn,A1,Feather,TBD,TBD
Oma,die,Omas,A1,Grandma,TBD,TBD
Leuchten,das,Leuchten,B1,Glow,TBD,TBD
